"fid,N,10,0","c_Degrees,N,24,15","xcoord,N,24,15","ycoord,N,24,15","EM_HK_1250,N,21,5","2516_19HA,N,21,5","2515_19HD,N,21,5","31251837HD,N,21,5","2516_19HD,N,21,5","6251819HD,N,21,5","EM_HKA_125,N,21,5","31251537HD,N,21,5","2517_19HD,N,21,5","2517_19HA,N,21,5","6251619HD,N,21,5","EM_HK_2500,N,21,5","6251619HA,N,21,5","EM_HKA_250,N,21,5","6251519HD,N,21,5","6251719HA,N,21,5","6251719HD,N,21,5","2516_37HA,N,21,5","2516_37HD,N,21,5","31251637HD,N,21,5","31251637HA,N,21,5","2517_37HA,N,21,5","31251737HD,N,21,5","31251737HA,N,21,5"
0.0000,0.0500,-60.7251,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0525,-60.7226,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0550,-60.7201,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0575,-60.7176,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0600,-60.7151,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0625,-60.7126,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0650,-60.7101,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0675,-60.7076,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0700,-60.7051,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0725,-60.7026,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
0.0000,0.0750,-60.7001,-37.2746,262.4847,260.8800,260.4800,262.2300,257.6500,261.5000,262.6832,260.2800,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.8800,265.0400,0.0000,259.6700,263.8300
