deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.1375,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.637605,-37.274563
0.14,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.635105,-37.274563
0.1425,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.632605,-37.274563
0.145,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.630105,-37.274563
0.1475,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.627605,-37.274563
0.15,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.625105,-37.274563
0.1525,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.622605,-37.274563
0.155,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.620105,-37.274563
0.1575,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.617605,-37.274563
0.16,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.615105,-37.274563
0.1625,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.612605,-37.274563
0.165,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.610105,-37.274563
0.1675,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.607605,-37.274563
0.17,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.605105,-37.274563
0.1725,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.602605,-37.274563
0.175,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.600105,-37.274563
0.1775,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.597605,-37.274563
0.18,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.595105,-37.274563
0.1825,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.592605,-37.274563
0.185,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.590105,-37.274563
0.1875,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.587605,-37.274563
0.19,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.585105,-37.274563
0.1925,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.582605,-37.274563
0.195,263.52524,266.39258,262.17474,257.54999,263.7688,263.55954,258.78,264.77441,-60.580105,-37.274563
