deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12
0.1825,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.185,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1875,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.19,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1925,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.195,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1975,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2025,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.205,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2075,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.21,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2125,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.215,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2175,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.22,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2225,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.225,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2275,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.23,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2325,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.235,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2375,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.24,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2425,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.245,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2475,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.25,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2525,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.255,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.2575,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.26,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2625,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.265,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2675,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.27,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2725,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.275,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2775,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.28,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2825,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.285,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2875,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.29,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2925,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.295,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.2975,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3025,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.305,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.3075,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
0.31,249.20401,249.51837,256.38498,245.73,257.9765,244.75989,248.08,255.8145
