deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.14,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.521058,-35.699574
0.1425,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.518652,-35.698897
0.145,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.516245,-35.698221
0.1475,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.513838,-35.697544
0.15,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.511431,-35.696868
0.1525,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.509025,-35.696191
0.155,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.506618,-35.695515
0.1575,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.504211,-35.694838
0.16,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.501805,-35.694162
0.1625,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.499398,-35.693485
0.165,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.496991,-35.692809
0.1675,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.494584,-35.692132
0.17,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.492178,-35.691456
0.1725,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.489771,-35.690779
0.175,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.487364,-35.690103
0.1775,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.484958,-35.689426
0.18,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.482551,-35.68875
0.1825,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.480144,-35.688073
0.185,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.477737,-35.687396
0.1875,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.475331,-35.68672
0.19,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.472924,-35.686043
