-4.000000000000000000e+03,3.883731555652365941e+00,3.561204111752596102e+00
-3.000000000000000000e+03,2.938403436194445550e+00,2.702563990694343499e+00
-2.000000000000000000e+03,2.037431595145659635e+00,1.887311337135551881e+00
-1.500000000000000000e+03,1.611045019606925255e+00,1.507366364445137163e+00
-1.000000000000000000e+03,1.215453922076096038e+00,1.165706708717954010e+00
-5.000000000000000000e+02,8.885736824254312216e-01,9.018729296542479235e-01
-2.500000000000000000e+02,7.775562193807264988e-01,8.221621138025750897e-01
0.000000000000000000e+00,7.240789603123672924e-01,7.927583846679587820e-01
2.500000000000000000e+02,7.405251857345021005e-01,8.181496853011328563e-01
5.000000000000000000e+02,8.235121467815976759e-01,8.933684791493351485e-01
1.000000000000000000e+03,1.120581150939127024e+00,1.149177634176587137e+00
1.500000000000000000e+03,1.504313874354721525e+00,1.481824715232962220e+00
2.000000000000000000e+03,1.926413247867532430e+00,1.849823654805580420e+00
3.000000000000000000e+03,2.827297188753751467e+00,2.635498790536215719e+00
4.000000000000000000e+03,3.776976435423522460e+00,3.456887905475538147e+00
