"fid,N,10,0","c_Degrees,N,24,15",xcoord,ycoord,EM_h_K_12,EM_h_K_25,EM_h_KA_25,EM_h_KA_125,NSIDC_F17_37HA,NSIDC_F17_19HD,NSIDC_F16_19HA,NSIDC_F16_37HA,NSIDC_F16_19HD,NSIDC_F16_37HD,NSIDC_F17_19HA,NSIDC_F15_19HD
0.00000,0.09000,-60.68511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.09250,-60.68261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.09500,-60.68011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.09750,-60.67761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.10000,-60.67511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.10250,-60.67261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.10500,-60.67011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.10750,-60.66761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.11000,-60.66511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.11250,-60.66261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
